구분,장소 설명,위도,경도
서울특별시 종로구1,서울특별시 종로구 종로5가(종로5가사거리 부근),37.5709,127.0018
서울특별시 성동구1,서울특별시 성동구 사근동(응답역 부근),37.562,127.046
서울특별시 성동구2,서울특별시 성동구 성수동2가(옥수자전거 부근),37.5452,127.0505
서울특별시 성동구3,서울특별시 성동구 성수동1가(용비교 부근),37.5501,127.0396
서울특별시 성동구4,서울특별시 성동구 성수동2가(성수2가1동주민센터 부근),37.5457,127.0543
서울특별시 성동구5,서울특별시 성동구 하왕십리동(상왕십리역 부근),37.5645,127.0294
서울특별시 광진구1,서울특별시 광진구 자양동(자양동56-8 부근),37.5323,127.0782
서울특별시 동대문구1,서울특별시 동대문구 장안동(장안동사거리 부근),37.5694,127.0706
서울특별시 동대문구2,서울특별시 동대문구 답십리동(청계지웰에스테이트 부근),37.5721,127.0436
서울특별시 동대문구3,서울특별시 동대문구 답십리동(천주교답십리성당 부근),37.5702,127.0559
서울특별시 동대문구4,서울특별시 동대문구 제기동(제기동역앞교차로 부근),37.5786,127.0347
서울특별시 동대문구5,서울특별시 동대문구 휘경동(회기역 부근),37.5912,127.0583
서울특별시 동대문구6,서울특별시 동대문구 장안동(장한로13길 부근),37.5746,127.0722
서울특별시 동대문구7,서울특별시 동대문구 장안동(sk군자동주유소 부근),37.5626,127.0727
서울특별시 동대문구8,서울특별시 동대문구 용두동(서울시설공단사거리 부근),37.5759,127.0305
서울특별시 중랑구1,서울특별시 중랑구 중화동(중화역교차로 부근),37.6022,127.0792
서울특별시 중랑구2,서울특별시 중랑구 면목동(장안교사거리 부근),37.5818,127.0796
서울특별시 중랑구3,서울특별시 중랑구 상봉동(동일로지하차도사거리 부근),37.5921,127.0863
서울특별시 중랑구4,서울특별시 중랑구 상봉동(망우역사거리 부근),37.5966,127.0913
서울특별시 중랑구5,서울특별시 중랑구 면목동(면목역 부근),37.5873,127.0874
서울특별시 중랑구6,서울특별시 중랑구 면목동(중랑천 자전거도로 부근),37.5875,127.0772
서울특별시 중랑구7,서울특별시 중랑구 상봉동(상봉삼거리 부근),37.5999,127.0898
서울특별시 중랑구8,서울특별시 중랑구 면목동(면목2동사거리 부근),37.5819,127.0827
서울특별시 중랑구9,서울특별시 중랑구 상봉동(상봉파출소 부근),37.5947,127.0881
서울특별시 강북구1,서울특별시 강북구 수유동(강북구청사거리 부근),37.6385,127.0256
서울특별시 강북구2,서울특별시 강북구 수유동(흰구름어린이공원 부근),37.6433,127.018
서울특별시 강북구3,서울특별시 강북구 미아동(삼양입구사거리 부근),37.6253,127.0232
서울특별시 강북구4,서울특별시 강북구 수유동(원남빌딩 부근),37.6321,127.0261
서울특별시 도봉구1,서울특별시 도봉구 창동(덕릉로63가길 부근),37.6582,127.0436
서울특별시 노원구1,서울특별시 노원구 중계동(은행사거리 부근),37.6521,127.0728
서울특별시 노원구2,서울특별시 노원구 상계동(상계초교입구교차로 부근),37.6713,127.0674
서울특별시 노원구3,서울특별시 노원구 상계동(노원역7번출구 부근),37.657,127.063
서울특별시 노원구4,서울특별시 노원구 상계동(kt노원빌딩 부근),37.6583,127.062
서울특별시 은평구1,서울특별시 은평구 갈현동(세광교회 부근),37.6226,126.915
서울특별시 은평구2,서울특별시 은평구 갈현동(연신내역 부근),37.6191,126.9211
서울특별시 서대문구1,서울특별시 서대문구 북가좌동(북가좌초교사거리 부근),37.575,126.9113
서울특별시 마포구1,서울특별시 마포구 망원동(망원성원APT 부근),37.5584,126.9056
서울특별시 마포구2,서울특별시 마포구 동교동(동교동삼거리 부근),37.5583,126.9248
서울특별시 양천구1,서울특별시 양천구 신정동(양천구청 부근),37.5173,126.8664
서울특별시 양천구2,서울특별시 양천구 신정동(신정네거리역앞교차로 부근),37.5222,126.853
서울특별시 강서구1,서울특별시 강서구 내발산동(발산역사거리 부근),37.5592,126.8375
서울특별시 강서구2,서울특별시 강서구 내발산동(수명산파크2단지교차로 부근),37.5518,126.8394
서울특별시 강서구3,서울특별시 강서구 내발산동(명덕고교입구교차로 부근),37.5482,126.8458
서울특별시 강서구4,서울특별시 강서구 염창동(한강남자전거길886 부근),37.5562,126.8833
서울특별시 강서구5,서울특별시 강서구 화곡동(홍익병원앞교차로 부근),37.5338,126.8524
서울특별시 강서구6,서울특별시 강서구 마곡동(마곡동773-3 부근),37.5617,126.8258
서울특별시 강서구7,서울특별시 강서구 화곡동(우리전기 부근),37.5369,126.8364
서울특별시 구로구1,서울특별시 구로구 구로동(디지털단지입구교차로 부근),37.4842,126.8966
서울특별시 구로구2,서울특별시 구로구 구로동(오금교사거리 부근),37.4996,126.8647
서울특별시 구로구3,서울특별시 구로구 구로동(구토리공원 앞도로 부근),37.4912,126.8906
서울특별시 구로구4,서울특별시 구로구 구로동(태영아파트 앞 부근),37.4981,126.8876
서울특별시 구로구5,서울특별시 구로구 오류동(경인로228 부근),37.4947,126.8385
서울특별시 영등포구1,서울특별시 영등포구 영등포동4가(영등포시장사거리 부근),37.5204,126.9096
서울특별시 영등포구2,서울특별시 영등포구 대림동(성락빌딩앞사거리 부근),37.4984,126.9044
서울특별시 영등포구3,서울특별시 영등포구 영등포동7가(여의2교 교차로 부근),37.5244,126.9209
서울특별시 영등포구4,서울특별시 영등포구 당산동(당산동95-1 부근),37.535,126.9045
서울특별시 영등포구5,서울특별시 영등포구 당산동(양화대교남단 부근),37.5387,126.9042
서울특별시 영등포구6,서울특별시 영등포구 문래동5가(안양천 자전거도로 부근),37.5188,126.8778
서울특별시 영등포구7,서울특별시 영등포구 당산동4가(영등포구청앞 교차로 부근),37.5262,126.8964
서울특별시 영등포구8,서울특별시 영등포구 문래동5가(신정교 밑 자전걸도로 부근),37.5135,126.8724
서울특별시 동작구1,서울특별시 동작구 사당동(이수역앞교차로 부근),37.4851,126.9823
서울특별시 동작구2,서울특별시 동작구 노량진동(노량진119안전센터 부근),37.5133,126.9431
서울특별시 동작구3,서울특별시 동작구 본동(한강대교남단교차로 부근),37.5186,126.9538
서울특별시 동작구4,서울특별시 동작구 신대방동(보라매삼성쉐르빌 부근),37.491,126.9242
서울특별시 동작구5,서울특별시 동작구 흑석동(흑석초 아래 자전거도로 부근),37.512,126.9602
서울특별시 동작구6,서울특별시 동작구 노량진동(노량진동114-5 부근),37.51,126.9405
서울특별시 강남구1,서울특별시 강남구 압구정동(동호대교 밑 자전거도로 부근),37.5303,127.0227
서울특별시 송파구1,서울특별시 송파구 방이동(올림픽공원사거리 부근),37.5173,127.1274
서울특별시 송파구2,서울특별시 송파구 가락동(광평교 부근),37.4907,127.103
서울특별시 송파구3,서울특별시 송파구 잠실동(잠실역사거리 부근),37.5132,127.1026
서울특별시 송파구4,서울특별시 송파구 문정동(3기동단 앞 사거리 부근),37.4852,127.1213
서울특별시 송파구5,서울특별시 송파구 풍납동(올림픽대교남단사거리 부근),37.5284,127.1129
서울특별시 송파구6,서울특별시 송파구 풍납동(신천동257-1 부근),37.526,127.1118
서울특별시 송파구7,서울특별시 송파구 문정동(가락시장역앞교차로 부근),37.4925,127.1182
서울특별시 송파구8,서울특별시 송파구 삼전동(레이크팰리스남1문 부근),37.5028,127.0901
서울특별시 송파구9,서울특별시 송파구 가락동(신가초교앞사거리 부근),37.4975,127.1221
서울특별시 송파구10,서울특별시 송파구 석촌동(미광빌딩 부근),37.5042,127.1042
서울특별시 송파구11,서울특별시 송파구 잠실동(GS25한강잠실2호점 부근),37.5193,127.08
서울특별시 송파구12,서울특별시 송파구 거여동(거여역교차로 부근),37.492,127.1444
서울특별시 송파구13,서울특별시 송파구 풍납동(강동성내역세권청년주택 부근),37.5298,127.1207
서울특별시 강동구1,서울특별시 강동구 성내동(둔촌사거리 부근),37.5273,127.1363
서울특별시 강동구2,서울특별시 강동구 둔촌동(천호대로1168 부근),37.5312,127.1387
서울특별시 강동구3,서울특별시 강동구 강일동(리버파크6단지 부근),37.5684,127.1706
서울특별시 강동구4,서울특별시 강동구 성내동(파리바게뜨 올림픽북문점 부근),37.5222,127.1259